apple: яблоко
banana: банан
chocolate: шоколад
dog: собака
elephant: слон
flower: цветок
guitar: гитара
house: дом
ice cream: мороженое
jazz: джаз
kangaroo: кенгуру
lamp: лампа
mountain: гора
notebook: блокнот
orange: апельсин
pizza: пицца
queen: королева
rainbow: радуга
sun: солнце
train: поезд
umbrella: зонтик
violin: скрипка
watermelon: арбуз
xylophone: ксилофон
yoga: йога
zebra: зебра
airplane: самолет
butterfly: бабочка
carrot: морковь
dolphin: дельфин
envelope: конверт
fire: огонь
giraffe: жираф
hamburger: гамбургер
island: остров
jellyfish: медуза
koala: коала
lemon: лимон
moon: луна
note: нота
ocean: океан
penguin: пингвин
quilt: одеяло
rose: роза
saxophone: саксофон
tree: дерево
umbrella: зонтик
violin: скрипка
whale: кит
xylophone: ксилофон
yacht: яхта
zeppelin: дирижабль
ant: муравей
bicycle: велосипед
cactus: кактус
dinosaur: динозавр
eagle: орёл
fountain: фонтан
grape: виноград
helicopter: вертолёт
iceberg: айсберг
jungle: джунгли
kite: воздушный змей
lighthouse: маяк
mushroom: гриб
net: сеть
owl: сова
parrot: попугай
quasar: квазар
rocket: ракета
squirrel: белка
telescope: телескоп
unicorn: единорог
volcano: вулкан
wagon: вагон
xylography: ксилография
yogurt: йогурт
zeppelin: дирижабль
